Allstar Sports Bar & Grill,Downtown,41.886718,-87.634214
Dave & Buster's,Downtown,Downtown,41.901035,-87.631583
Jake Melnick's Corner Tap,Downtown,41.895577,-87.626637
Bar Louie,Evanston,42.045421,-87.68196
Buffalo Wild Wings,Evanston,42.04942,-87.684634
